Title,URL,PublishedAt,description
IPL 2024: Romario Shepherd credits Kieron Pollard for last-over heroics against Delhi Capitals,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2024-romario-shepherd-credits-kieron-pollard-for-last-over-heroics-against-delhi-capitals/articleshow/109120305.cms,2024-04-08T04:27:55Z,"Romario Shepherd, IPL player since 2022, shifted to Mumbai Indians from Lucknow Super Giants. He impressed against Delhi Capitals with 32 runs. Previously bought by Sunrisers Hyderabad, Shepherd now joins West Indian instant hits at MI like Lendl Simmons, Dwa…"
IPL 2024: Romario Shepherd's last-over onslaught against Delhi Capitals helps Mumbai Indians seal first win,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2024-romario-shepherds-last-over-onslaught-against-delhi-capitals-helps-mumbai-indians-seal-first-win/articleshow/109119841.cms,2024-04-08T04:23:33Z,"At Wankhede Stadium, Mumbai Indians secured their first win by defeating Delhi Capitals. Romario Shepherd's pivotal 32 runs off Anrich Nortje's final over led MI to post 234-5, a challenging target that DC fell short of, scoring 205 for eight. MI's total was …"
IPL 2024 Updated Points Table: Lucknow Super Giants moves to third spots as Gujarat Titans slip to seventh spot,https://economictimes.indiatimes.com/news/sports/ipl-2024-points-table-lucknow-super-giants-reaches-third-spot-after-defeating-gujarat-titans-rajasthan-royals-still-at-the-top-of-the-table-check-latest-rankings/articleshow/109118895.cms,2024-04-08T03:49:11Z,"Lucknow Super Giants secured a 33-run victory over Gujarat Titans in a thrilling IPL 2024 match. Marcus Stoinis' impressive all-round performance and Yash Thakur's exceptional bowling were instrumental in LSG's triumph. LSG set a challenging target of 164, wi…"
IPL 2024: Kolkata Knight Riders aim to ambush Chennai Super Kings at Chepauk,https://timesofindia.indiatimes.com/sports/cricket/ipl/top-stories/ipl-2024-kolkata-knight-riders-aim-to-ambush-chennai-super-kings-at-chepauk/articleshow/109117778.cms,2024-04-08T02:42:00Z,"The fact that the Chepauk pitches have been conducive for stroke-making will light up the eyes of the KKR batters, who have smashed more sixes (45 in 3 matches) than fours (44) so far this campaign. The bowling unit, led by Australian firebrand Mitch ell Star…"
"Aussies at the IPL: Marsh's hamstring concern, Maxwell and Green struggle",https://www.espncricinfo.com/story/aussies-at-the-ipl-2024-mitchell-marsh-s-hamstring-concern-glenn-maxwell-cameron-green-struggle-1428333,2024-04-08T02:40:08Z,"As the IPL starts to take shape, here's a recap of the main storylines involving the Australians"
Startups tap new pools of capital; consumer lending apps hit profitability,https://economictimes.indiatimes.com/tech/newsletters/morning-dispatch/startups-tap-new-pools-of-capital-consumer-lending-apps-hit-profitability/articleshow/109117025.cms,2024-04-08T01:38:32Z,"Capital pools have diversified amid the broader tech slowdown with large global, crossover and hedge funds mostly staying away from cutting new cheques. Domestic firms and family offices such as those run by Zerodha cofounder Nikhil Kamath, Manipal Group chai…"
Illegal betting sites start new innings as IPL action picks up,https://economictimes.indiatimes.com/tech/technology/illegal-sports-betting-sites-revive-activities-amid-ipl/articleshow/109110264.cms,2024-04-08T00:30:00Z,"Illegal sports betting sites like Parimatch, Betway, and 1XBet target IPL fans with discounts. E-Gaming Federation seeks government ban due to tax pilferage and national security risks. Fraudulent sites expose users to financial fraud."
Gaikwad's half-century helps CSK past KKR - IPL scorecard,https://www.bbc.co.uk/sport/cricket/scorecard/ECKE1220593,2024-04-08T00:00:00Z,Find out the in depth batting and bowling figures for Chennai Super Kings v Kolkata Knight Riders in the Indian Premier League on BBC Sport.
"After Back-To-Back Losses, CSK Bank On Home Advantage Against Unbeaten KKR",https://thehillstimes.in/sports/after-back-to-back-losses-csk-bank-on-home-advantage-against-unbeaten-kkr,2024-04-07T21:50:32Z,"Chennai, April 7: Defending champions Chennai Super Kings would expect a lot more from their top-order as they aim to get their campaign back on track against a power-packed Kolkata Knight Riders in the IPL here on Monday. Back-to-back defeats would not creat…"
Big-hitting Aussies shine in IPL victories,https://www.abc.net.au/news/2024-04-08/tim-david-marcus-stoinis-guide-teams-to-ipl-wins/103680404,2024-04-07T21:49:27Z,"Tim David and Marcus Stoinis have made it a fruitful day for Australian big hitters in India, with the two power batters helping muscle their sides to victory in the IPL."
All-Round Mumbai Indians End Losing Streak In IPL With 29–Run Win Over Delhi Capitals,https://thehillstimes.in/sports/all-round-mumbai-indians-end-losing-streak-in-ipl-with-29-run-win-over-delhi-capitals,2024-04-07T21:40:33Z,"Mumbai, Apr 7 (PTI) Romario Shepherd’s 10-ball 39 not out outmuscled Tristan Stubb’s courageous 71 off 25 balls as Mumbai Indians ended its three-match losing streak in the Indian Premier League with a 29–run win against Delhi Capitals here on Sunday. Concedi…"
Virat Kohli Said Pitch Was Two-Paced But It Never Looked Like One With The Way He Batted: Ajay Jadeja,https://thehillstimes.in/sports/virat-kohli-said-pitch-was-two-paced-but-it-never-looked-like-one-with-the-way-he-batted-ajay-jadeja,2024-04-07T21:30:45Z,"New Delhi, April 7: Virat Kohli reckoned that the Jaipur track was two-paced making strokeplay difficult but former India ODI skipper Ajay Jadeja felt that the manner in which the star batter batted, there seemed to be very little demons present in the 22-yar…"
"MI vs DC: Just Jasprit things as Bumrah produces a special yorker, Rohit vs Ishant in battle of Sharmas and more",https://indianexpress.com/article/sports/ipl/mi-vs-dc-jasprit-bumrah-rohit-sharma-ishant-sharma-9257073/,2024-04-07T19:13:19Z,IPL 2024 Emotional Rollercoaster: Mumbai Indians defeat Delhi Capitals by 29 runs
"Yash Thakur’s pace, Krunal Pandya’s guile orchestrate Lucknow Super Giants successful defence against Gujarat Titans",https://indianexpress.com/article/sports/ipl/ipl-2024-lsg-vs-gt-yash-thakur-krunal-pandya-9257051/,2024-04-07T18:55:50Z,"After Nicholas Pooran and Marcus Stoinis help hosts to a fighting total, Lucknow's bowlers make light of Mayank Yadav's injury to seal 33-run win"
Shepherd blasts 32 in final over as Mumbai take first IPL win,https://www.france24.com/en/live-news/20240407-shepherd-blasts-32-in-final-over-as-mumbai-take-first-ipl-win-1,2024-04-07T18:33:05Z,"In the second match of the day, seam bowler Yash Thakur took the first five-wicket haul of the IPL campaign to lead Lucknow Super Giants to a 33-run win over Gujarat Titans on home turf.

In match one, Shepherd crashed a 10-ball 39 in an unbeaten stand of 53 …"
Content behind blockbuster theatre footfall,https://economictimes.indiatimes.com/industry/media/entertainment/content-behind-blockbuster-theatre-footfall/articleshow/109112623.cms,2024-04-07T18:18:22Z,"As many as 78 credit cards of various banks have rolled out attractive offers on movie tickets such as buy one get one (BOGO) free ticket, discount up to a certain ticket price, providing a fixed number of free tickets in a month, cash back on tickets, or pre…"
Thakur claims first five-wicket haul of IPL season as Lucknow win,https://www.france24.com/en/live-news/20240407-thakur-claims-first-five-wicket-haul-of-ipl-season-as-lucknow-win,2024-04-07T18:09:05Z,"Thakur returned figures of 5-30 to help bowl out Gujarat for 130 in their chase of 164 as hosts Lucknow won by 33 runs in the 21st match of this edition of the T20 tournament.

The 25-year-old Thakur, who is yet to play an international, wrapped up the match …"
JioCinema woos small advertisers for IPL,https://economictimes.indiatimes.com/industry/media/entertainment/jiocinema-woos-small-advertisers-for-ipl/articleshow/109112199.cms,2024-04-07T17:32:34Z,"""Google and Meta have built massive digital advertising businesses thanks to SMBs. JioCinema is wooing these advertisers with live sports as a hook,"" an advertising expert said, adding that building long-tail advertisers will help reduce dependence on large a…"
Jinx-breaking East Bengal stay in ISL playoff mix,https://timesofindia.indiatimes.com/sports/football/indian-super-league/top-stories/jinx-breaking-east-bengal-stay-in-isl-playoff-mix/articleshow/109111973.cms,2024-04-07T17:07:44Z,"Football News: A four-season-old jinx is broken finally. And with it, East Bengal are back in the Indian Super League's playoff race with renewed hope."
"IPL Fan Paid Rs 4,500 For SRH Vs CSK Match, Ended Up Standing",https://www.ndtv.com/feature/ipl-fan-paid-rs-4-500-for-srh-vs-csk-match-ended-up-standing-5394761,2024-04-07T17:06:06Z,"Disappointed, he shared his experience on social media platform X, requesting a refund."
India suffer 2-4 defeat against Australia in second hockey Test,https://timesofindia.indiatimes.com/sports/hockey/top-stories/india-suffer-2-4-defeat-against-australia-in-second-hockey-test/articleshow/109111900.cms,2024-04-07T16:59:25Z,The Indian men's hockey team put up a much-improved performance during the second game of their five-match Test series against Australia in Perth on Sunday but still they fell short against the hosts who scored three goals in the third quarter to win 4-2.
A day of siblings' fightback at Candidates chess tournament,https://timesofindia.indiatimes.com/sports/chess/a-day-of-siblings-fightback-at-candidates-chess-tournament/articleshow/109111850.cms,2024-04-07T16:54:20Z,"A day after losing their respective games, Praggnanandhaa R and his elder sister Vaishali R enjoyed a special Saturday, both getting decisive results in Round 3 of the Candidates chess tournament in Toronto."
In Pics - Shepherd blasts 32 in final over as MI take first IPL win,https://timesofindia.indiatimes.com/sports/cricket/ipl/web-stories/romario-shepherd-blasts-32-in-final-over-as-mumbai-indians-take-first-ipl-win/photostory/109111292.cms,2024-04-07T16:04:15Z,Read more on TOI Sports
Tyranny of Content Algorithms,https://om.co/2024/04/07/tyranny-of-content-algorithms/,2024-04-07T15:38:49Z,"Algorithms feed content, not creativity. How has the campaign for clicks drowned true artistry amidst the noise?"
